,page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
16,2,7,,Remdesivir in covid-19,https://www.bmj.com/content/369/bmj.m1610,Dta3y2H6alcJ,"RE Ferner, JK Aronson - Bmj, 2020 - bmj.com","The recent publication of an industry sponsored, open, non-randomised study of remdesivir in a heterogeneous patient population has added to the confusion surrounding the drug …",84,"https://scholar.google.com/scholar?cites=6299122326767654414&as_sdt=5,41&sciodt=0,41&hl=en",6299122326767654414,9,"https://scholar.google.com/scholar?cluster=6299122326767654414&hl=en&as_sdt=0,41",6299122326767654414,PDF,archive.org,https://scholar.archive.org/work/k2oqhron7baerkdquqgbt46liq/access/wayback/https://www.bmj.com/content/bmj/369/bmj.m1610.full.pdf
17,2,8,,Remdesivir for the treatment of Covid-19—preliminary report,https://discovery.ucl.ac.uk/id/eprint/10103323/,dhtSVVMUP_IJ,"JH Beigel, KM Tomashek, LE Dodd… - … England Journal of …, 2020 - discovery.ucl.ac.uk","… for the treatment of coronavirus disease 2019 (Covid-19), no … in adults who were hospitalized with Covid-19 and had evidence of … in adults who were hospitalized with Covid-19 and had …",2169,"https://scholar.google.com/scholar?cites=17455693028857617270&as_sdt=5,41&sciodt=0,41&hl=en",17455693028857617270,3,"https://scholar.google.com/scholar?cluster=17455693028857617270&hl=en&as_sdt=0,41",17455693028857617270,PDF,ucl.ac.uk,https://discovery.ucl.ac.uk/id/eprint/10103323/7/Pett_Remdesivir%20for%20the%20Treatment%20of%20Covid-19%20%E2%80%94%20Preliminary%20Report_VoR.pdf
18,2,9,Html,Modelling covid-19,https://www.nature.com/articles/s42254-020-0178-4,9wk84JKspAUJ,"A Vespignani, H Tian, C Dye, JO Lloyd-Smith… - Nature Reviews …, 2020 - nature.com",… Peculiar to the field of computational epidemiology is the distinction between two different kinds of work: ‘peace time’ research when there are no health emergencies or …,135,"https://scholar.google.com/scholar?cites=406639613197421047&as_sdt=5,41&sciodt=0,41&hl=en",406639613197421047,12,"https://scholar.google.com/scholar?cluster=406639613197421047&hl=en&as_sdt=0,41",406639613197421047,HTML,nature.com,https://www.nature.com/articles/s42254-020-0178-4
19,2,10,,Pendidikan dalam masa pandemi covid-19,http://sinestesia.pustaka.my.id/journal/article/view/44,J8YOgsQu8XcJ,"DRAU Khasanah, H Pramudibyanto… - Jurnal …, 2020 - sinestesia.pustaka.my.id","Wabah global telah melanda dunia, begitu pula yg terjadi di Indonesia, sehingga program stay at home dilaksanakan sbg upaya menekan perluasan covid-19. Pada Universitas …",461,"https://scholar.google.com/scholar?cites=8642740581431166503&as_sdt=5,41&sciodt=0,41&hl=en",8642740581431166503,2,"https://scholar.google.com/scholar?cluster=8642740581431166503&hl=en&as_sdt=0,41",8642740581431166503,PDF,pustaka.my.id,https://sinestesia.pustaka.my.id/journal/article/download/44/6
20,3,1,Html,"Characteristics associated with hospitalization among patients with COVID-19—Metropolitan Atlanta, Georgia, March–April 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7316317/,RaAZHkGgeUkJ,"…, CDC COVID, RC Team, CDC COVID… - … and mortality weekly …, 2020 - ncbi.nlm.nih.gov","… Similarly, when comparing hospitalized patients with catchment area populations or nonhospitalized COVID-19 patients, high proportions have underlying conditions, including …",286,"https://scholar.google.com/scholar?cites=5294439038489043013&as_sdt=5,41&sciodt=0,41&hl=en",5294439038489043013,13,"https://scholar.google.com/scholar?cluster=5294439038489043013&hl=en&as_sdt=0,41",5294439038489043013,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7316317/
21,3,2,,Treatment for COVID-19: An overview,https://www.sciencedirect.com/science/article/pii/S0014299920307366,2hAUFqGI5FkJ,"C Stasi, S Fallani, F Voller, C Silvestri - European journal of pharmacology, 2020 - Elsevier","… clinical phases of COVID-19, particularly in patients with moderate to severe COVID-19, the … During this emergency period of the COVID-19 outbreak, clinical researchers are using and …",155,"https://scholar.google.com/scholar?cites=6477452389507141850&as_sdt=5,41&sciodt=0,41&hl=en",6477452389507141850,9,"https://scholar.google.com/scholar?cluster=6477452389507141850&hl=en&as_sdt=0,41",6477452389507141850,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7548059/
22,3,3,,Indonesia in the Time of Covid-19,https://www.tandfonline.com/doi/abs/10.1080/00074918.2020.1798581,Dml9DVgqj1sJ,"S Olivia, J Gibson, R Nasrudin - Bulletin of Indonesian economic …, 2020 - Taylor & Francis","The Covid-19 virus has spread across the world with alarming speed, infecting millions and causing economic disruption on an unprecedented scale. In this survey, we examine the …",158,"https://scholar.google.com/scholar?cites=6597538536792877326&as_sdt=5,41&sciodt=0,41&hl=en",6597538536792877326,5,"https://scholar.google.com/scholar?cluster=6597538536792877326&hl=en&as_sdt=0,41",6597538536792877326,,,
23,3,4,,COVID-19 and its impact on society,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3567837,7y6VfTs3RoQJ,"J Singh, J Singh - Electronic Research Journal of Social Sciences …, 2020 - papers.ssrn.com",World Health Organization (WHO) announced Corona Virus which is also referred as COVID-19as a disease on 11th February 2020. It is a respiratory disease which impacts the health …,129,"https://scholar.google.com/scholar?cites=9531366390025760495&as_sdt=5,41&sciodt=0,41&hl=en",9531366390025760495,7,"https://scholar.google.com/scholar?cluster=9531366390025760495&hl=en&as_sdt=0,41",9531366390025760495,PDF,researchgate.net,https://www.researchgate.net/profile/Electronic-Journals/publication/340769976_COVID_-_19%27s_Impact_on_the_Society/links/5e9c7948a6fdcca789282c41/COVID-19s-Impact-on-the-Society.pdf
24,3,5,Html,Role of favipiravir in the treatment of COVID-19,https://www.sciencedirect.com/science/article/pii/S1201971220322736,U0IrZQTxt88J,"S Joshi, J Parkar, A Ansari, A Vora, D Talwar… - International Journal of …, 2021 - Elsevier","… The coronavirus disease-2019 (COVID-19) outbreak all over … From the clinical studies in COVID-19, it has shown rapid … role of favipiravir in the management of COVID-19 infection with …",189,"https://scholar.google.com/scholar?cites=14967696887768629843&as_sdt=5,41&sciodt=0,41&hl=en",14967696887768629843,13,"https://scholar.google.com/scholar?cluster=14967696887768629843&hl=en&as_sdt=0,41",14967696887768629843,HTML,sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S1201971220322736
25,3,6,Html,"COVID-19 vaccine breakthrough infections reported to CDC—United States, January 1–April 30, 2021",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8158893/,sz1cfIb8amgJ,"…, CDC COVID, VBCI Team, CDC COVID… - … and Mortality Weekly …, 2021 - ncbi.nlm.nih.gov",COVID-19 vaccines are a critical tool for controlling the ongoing global pandemic. The Food and Drug Administration (FDA) has issued Emergency Use Authorizations for three COVID-…,106,"https://scholar.google.com/scholar?cites=7524103782018071987&as_sdt=5,41&sciodt=0,41&hl=en",7524103782018071987,3,"https://scholar.google.com/scholar?cluster=7524103782018071987&hl=en&as_sdt=0,41",7524103782018071987,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8158893/
26,3,7,,A literature review of the economics of COVID‐19,https://onlinelibrary.wiley.com/doi/abs/10.1111/joes.12423,dAk85UA-S-sJ,"A Brodeur, D Gray, A Islam… - Journal of Economic …, 2021 - Wiley Online Library","… on the economic consequences of COVID‐19 and the … to measure social distancing and COVID‐19 cases and deaths; (… on the socioeconomic consequences of COVID‐19, focusing on …",433,"https://scholar.google.com/scholar?cites=16954713670611110260&as_sdt=5,41&sciodt=0,41&hl=en",16954713670611110260,25,"https://scholar.google.com/scholar?cluster=16954713670611110260&hl=en&as_sdt=0,41",16954713670611110260,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8250825/
27,3,8,,AI techniques for COVID-19,https://ieeexplore.ieee.org/abstract/document/9136710/,J6fIPrhHQqwJ,"AA Hussain, O Bouachir, F Al-Turjman… - IEEE access, 2020 - ieeexplore.ieee.org",… and COVID-19 with various learning techniques. Section 3 emphasizes on deep learning in COVID-19. In section 4 we discuss on commuting AI techniques in combating COVID-19. …,103,"https://scholar.google.com/scholar?cites=12412562379639400231&as_sdt=5,41&sciodt=0,41&hl=en",12412562379639400231,9,"https://scholar.google.com/scholar?cluster=12412562379639400231&hl=en&as_sdt=0,41",12412562379639400231,PDF,ieee.org,https://ieeexplore.ieee.org/iel7/6287639/8948470/09136710.pdf
28,3,9,,COVID-19: a review,https://monaldi-archives.org/index.php/macd/article/view/1298,5sd9Ib6f4fMJ,"I Madabhavi, M Sarkar… - Monaldi Archives for Chest …, 2020 - monaldi-archives.org","The enduring epidemic outbreak which started in Wuhan city of China, in December 2019 caused by the 2019 novel coronavirus (COVID-19) or the severe acute respiratory syndrome …",132,"https://scholar.google.com/scholar?cites=17573502859930879974&as_sdt=5,41&sciodt=0,41&hl=en",17573502859930879974,9,"https://scholar.google.com/scholar?cluster=17573502859930879974&hl=en&as_sdt=0,41",17573502859930879974,PDF,monaldi-archives.org,https://monaldi-archives.org/index.php/macd/article/download/1298/1024
29,3,10,Pdf,Economics in the time of COVID-19: A new eBook,https://fondazionecerm.it/wp-content/uploads/2020/03/CEPR-Economics-in-the-time-of-COVID-19_-A-new-eBook.pdf,NePEYxeXw1gJ,"R Baldwin, BW Di Mauro - VOX CEPR Policy Portal, 2020 - fondazionecerm.it","The novel coronavirus is both something old and something new. As usual, the pandemic is both an aggregate demand and an aggregate supply shock, but the fact that it has hit China …",1119,"https://scholar.google.com/scholar?cites=6396122022510125877&as_sdt=5,41&sciodt=0,41&hl=en",6396122022510125877,0,{},{},PDF,fondazionecerm.it,https://fondazionecerm.it/wp-content/uploads/2020/03/CEPR-Economics-in-the-time-of-COVID-19_-A-new-eBook.pdf
30,4,1,Pdf,Economics in the time of COVID-19: A new eBook,https://fondazionecerm.it/wp-content/uploads/2020/03/CEPR-Economics-in-the-time-of-COVID-19_-A-new-eBook.pdf,NePEYxeXw1gJ,"R Baldwin, BW Di Mauro - VOX CEPR Policy Portal, 2020 - fondazionecerm.it","The novel coronavirus is both something old and something new. As usual, the pandemic is both an aggregate demand and an aggregate supply shock, but the fact that it has hit China …",1119,"https://scholar.google.com/scholar?cites=6396122022510125877&as_sdt=5,41&sciodt=0,41&hl=en",6396122022510125877,0,{},{},PDF,fondazionecerm.it,https://fondazionecerm.it/wp-content/uploads/2020/03/CEPR-Economics-in-the-time-of-COVID-19_-A-new-eBook.pdf
31,4,2,,COVID-19 in the environment,https://www.sciencedirect.com/science/article/pii/S0045653520321688,lNngkHjPUBsJ,"S SanJuan-Reyes, LM Gómez-Oliván, H Islas-Flores - Chemosphere, 2021 - Elsevier","… it COVID-19, caused by severe acute respiratory syndrome coronavirus 2 (SARS-COV2). New studies provide information of the role of the environment in COVID-… implications of COVID-…",53,"https://scholar.google.com/scholar?cites=1968301153894586772&as_sdt=5,41&sciodt=0,41&hl=en",1968301153894586772,13,"https://scholar.google.com/scholar?cluster=1968301153894586772&hl=en&as_sdt=0,41",1968301153894586772,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7426221/
32,4,3,Html,Digital technology and COVID-19,https://www.nature.com/articles/s41591-020-0824-5.,kllDFll-fhwJ,"DSW Ting, L Carin, V Dzau, TY Wong - Nature medicine, 2020 - nature.com","… and public-health measures to contain the COVID-19 pandemic, similar to those used for … for tackling the scale of COVID-19. Could new digital technology be used for COVID-19? In this …",987,"https://scholar.google.com/scholar?cites=2053217401218226578&as_sdt=5,41&sciodt=0,41&hl=en",2053217401218226578,17,"https://scholar.google.com/scholar?cluster=2053217401218226578&hl=en&as_sdt=0,41",2053217401218226578,HTML,nature.com,https://www.nature.com/articles/s41591-020-0824-5.
33,4,4,,Epidemiology of COVID-19,https://journals.tubitak.gov.tr/medical/abstract.htm?id=27232,Y1HgVGuzlTsJ,"C Bulut, Y Kato - Turkish journal of medical sciences, 2020 - journals.tubitak.gov.tr","It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered …",343,"https://scholar.google.com/scholar?cites=4293535093334495587&as_sdt=5,41&sciodt=0,41&hl=en",4293535093334495587,18,"https://scholar.google.com/scholar?cluster=4293535093334495587&hl=en&as_sdt=0,41",4293535093334495587,PDF,tubitak.gov.tr,https://journals.tubitak.gov.tr/medical/issues/sag-20-50-si-1/sag-50-si-1-12-2004-172.pdf
34,4,5,,Posttraumatic stress disorder in patients after severe COVID-19 infection,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2776722,yzNoUrj-9z8J,"…, R Bernabei, F Landi, G Sani, GA COVID… - JAMA …, 2021 - jamanetwork.com",Methods| A total of 381 consecutive patients who presented to the emergency department with SARS-CoV-2 and recovered from COVID-19 infection were referred for a postrecovery …,100,"https://scholar.google.com/scholar?cites=4609432811246990283&as_sdt=5,41&sciodt=0,41&hl=en",4609432811246990283,7,"https://scholar.google.com/scholar?cluster=4609432811246990283&hl=en&as_sdt=0,41",4609432811246990283,PDF,jamanetwork.com,https://jamanetwork.com/journals/jamapsychiatry/articlepdf/2776722/jamapsychiatry_janiri_2021_ld_210001_1619663151.21439.pdf
35,4,6,Html,Remdesivir as a possible therapeutic option for the COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7129391/,mQER7We5G9IJ,"JA Al-Tawfiq, AH Al-Homoud… - Travel medicine and …, 2020 - ncbi.nlm.nih.gov","… With the emergence of the SARS-CoV-2, the etiologic agent of (COVID-19)… COVID-19[ 10 ]. In a case report, remdisivir reatment was started intravenous on day 7 in a patient with COVID-…",355,"https://scholar.google.com/scholar?cites=15139898428346139033&as_sdt=5,41&sciodt=0,41&hl=en",15139898428346139033,10,"https://scholar.google.com/scholar?cluster=15139898428346139033&hl=en&as_sdt=0,41",15139898428346139033,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7129391/
36,4,7,Pdf,COVID-19 impact on students,https://edarxiv.org/895ed/download?format=pdf,kPZIgE20J9sJ,A Pragholapati - 2020 - edarxiv.org,"As we have questioned today in the world, especially Indonesia which is struggling against Coronavirus or commonly known by the name (COVID-19), which is already much needed …",152,"https://scholar.google.com/scholar?cites=15791788863355680400&as_sdt=5,41&sciodt=0,41&hl=en",15791788863355680400,3,"https://scholar.google.com/scholar?cluster=15791788863355680400&hl=en&as_sdt=0,41",15791788863355680400,PDF,edarxiv.org,https://edarxiv.org/895ed/download?format=pdf
37,4,8,,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",https://www.sciencedirect.com/science/article/pii/S0049384820301407,UdRLVMSDhLwJ,"…, C Sacco, A Bertuzzi, MT Sandri, S Barco, H COVID… - Thrombosis research, 2020 - Elsevier",Background Few data are available on the rate and characteristics of thromboembolic complications in hospitalized patients with COVID-19. Methods We studied consecutive …,1710,"https://scholar.google.com/scholar?cites=13584127255307342929&as_sdt=5,41&sciodt=0,41&hl=en",13584127255307342929,22,"https://scholar.google.com/scholar?cluster=13584127255307342929&hl=en&as_sdt=0,41",13584127255307342929,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7177070/
38,4,9,,Long COVID: an overview,https://www.sciencedirect.com/science/article/pii/S1871402121001193,yuDiiKbqd4oJ,"AV Raveendran, R Jayadevan… - Diabetes & Metabolic …, 2021 - Elsevier","… , post COVID or Long COVID can be divided into two stages-post acute COVID where symptoms extend beyond 3 weeks, but less than 12 weeks, and chronic COVID where symptoms …",129,"https://scholar.google.com/scholar?cites=9977701500444664010&as_sdt=5,41&sciodt=0,41&hl=en",9977701500444664010,11,"https://scholar.google.com/scholar?cluster=9977701500444664010&hl=en&as_sdt=0,41",9977701500444664010,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8056514/
39,4,10,,Longitudinal hematologic and immunologic variations associated with the progression of COVID-19 patients in China,https://www.sciencedirect.com/science/article/pii/S0091674920306382,IYsAXzusoVsJ,"…, Y Li, J He, J Li, S Li, N Zhong, MTEG for COVID - Journal of Allergy and …, 2020 - Elsevier",Background Crucial roles of hematologic and immunologic responses in progression of coronavirus disease 2019 (COVID-19) remain largely unclear. Objective We sought to address …,186,"https://scholar.google.com/scholar?cites=6602747899698776865&as_sdt=5,41&sciodt=0,41&hl=en",6602747899698776865,14,"https://scholar.google.com/scholar?cluster=6602747899698776865&hl=en&as_sdt=0,41",6602747899698776865,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7212968/
